"","Q26","Q5Post","Q3FUS_Yes","Q3FUS_No","Q3Post","sp43fatheduc","sp44motheduc","sq39jobl","sp61pay","sq41preparealll","sp54homesup","sp47mpersonparent","sp41weak","sqr25grade","sqr29confident","sq48gradel","switcher_group","is_switcher","fath_educ","moth_educ","work","class","pay","sum_ses","low_ses","weak","end_grad","ability","sum_belief","no_belief","homesupp","parent_belief","sum_home","no_home_supp"
"363","Yes","Yes"," "," ","Yes","Graduate school","Four years of college",25.5,"Slightly agree",13,"Very strongly","Very much","Disagree",2,"Slightly agree",2,16,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE
"364","Yes","Yes","Yes"," ","Yes","High school","Some college",8,"Strongly disagree",13,"Somewhat","1","Strongly disagree",3,"Strongly agree",3,12,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,2,TRUE
"365","Yes","Yes"," ","No","Yes","High school","Some college",13,"Disagree",13,"Very strongly","Very much","Disagree",4,"Agree",4,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"366","Yes","Yes"," "," ","Yes","High school","Some college",35,"Strongly agree",13,"Very strongly","4","Slightly disagree",3,"Agree",2,16,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"367","Dont know/ Not sure/ N/A","No"," "," ","No","High school","High school",35,"Strongly agree",8,"Somewhat","Very much","Agree",3,"Agree",3,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,1,TRUE
"368","Dont know/ Not sure/ N/A","Dont know/ Not sure/ N/A"," "," ","Yes","Graduate school","Four years of college",8,"Slightly agree",25.5,"Somewhat","2","Agree",4,"Slightly agree",4,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,1,TRUE
"369","Yes","Yes"," "," ","Yes","High school","High school",18,"Slightly agree",18,"Somewhat","1","Disagree",4,"Strongly agree",3.67,16,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,4,TRUE,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,2,TRUE
"370","Yes","Yes"," "," ","Yes","Graduate school","Four years of college",0,"Disagree",8,"Strongly","3","Agree",4,"Agree",4,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"371","Yes","Yes"," "," ","Yes","Four years of college","Four years of college",0,"Strongly disagree",13,"Very strongly","Very much","Strongly disagree",4,"Strongly agree",4,16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"372","Yes","Yes"," "," ","Yes","Four years of college","Graduate school",0,"Slightly agree",13,"Strongly","Very much","Disagree",3,"Agree",2.33,16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"373","Dont know/ Not sure/ N/A","No"," "," ","Yes","Four years of college","Four years of college",8,"Disagree",18,"Very strongly","4","Slightly disagree",4,"Strongly agree",4,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"374","Yes","Yes"," "," ","Yes","High school","Did not finish high school",0,"Strongly disagree",35,"Very strongly","3","Disagree",4,"Strongly agree",3.67,16,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"375","Dont know/ Not sure/ N/A","Dont know/ Not sure/ N/A"," "," ","Yes","Did not finish high school","Some college",13,"Slightly agree",8,"Strongly","4","Agree",3,"Slightly agree",3,20,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"376","Yes","Dont know/ Not sure/ N/A"," "," ","Dont know/ Not sure/ N/A","Did not finish high school","High school",3,"Disagree",25.5,"Strongly","3","Strongly disagree",3,"Slightly agree",4,17,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"377","Yes","Yes"," "," ","Dont know/ Not sure/ N/A","High school","Did not finish high school",0,"Disagree",13,"Somewhat","Very much","Agree",2,"Slightly agree",1.33,5,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3,TRUE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,1,TRUE
"378","Yes","Yes"," "," ","Yes","Graduate school","High school",0,"Slightly agree",18,"Somewhat","4","Disagree",4,"Slightly agree",3.67,16,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,1,TRUE
"379","Dont know/ Not sure/ N/A","Yes"," "," ","Yes","Graduate school","Four years of college",0,"Slightly disagree",18,"Very strongly","Very much","Slightly disagree",4,"Agree",3,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"380","Yes","Yes"," "," ","Yes","Did not finish high school","High school",35,"Strongly agree",8,"Somewhat","Very much","Slightly disagree",2,"Slightly agree",2,16,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,1,TRUE
"381","Yes","Yes"," "," ","Yes","High school","Some college",0,"Slightly agree",3,"Very strongly","Very much","Disagree",4,"Strongly agree",4,16,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"382","Yes","Yes"," "," ","Yes","Four years of college","Four years of college",0,"Slightly agree",3,"Strongly","2","Disagree",2,"Slightly agree",2,16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE
"383","Yes","Yes"," "," ","Yes","Did not finish high school","Did not finish high school",13,"Slightly agree",3,"Not at all","1","Agree",3,"Slightly agree",3,16,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,FALSE,2,TRUE,TRUE,TRUE,2,TRUE
"384","Yes",""," "," ","Yes","Did not finish high school","Some college",0,"Slightly agree",8,"Very strongly","3","Slightly disagree",3,"Agree",3.33,16,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,TRUE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"385","Yes",""," "," ","Yes","Four years of college","Graduate school",25.5,"Agree",35,"Strongly","3","Slightly disagree",3,"Slightly agree",3,16,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"386","Yes","Yes"," "," ","Yes","Some college","High school",3,"Strongly agree",18,"Strongly","Very much","Slightly disagree",3,"Slightly agree",4,16,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"387","Yes","Yes"," "," ","Yes","Four years of college","Four years of college",18,"Strongly agree",18,"Very strongly","4","Disagree",3,"Strongly agree",3.33,16,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,0,FALSE
"388","Dont know/ Not sure/ N/A","No"," "," ","Yes","Some college","Four years of college",3,"Strongly disagree",25.5,"Not at all","4","Slightly disagree",4,"Agree",4,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,FALSE,1,TRUE
"389","Dont know/ Not sure/ N/A","No"," "," ","No","Graduate school","Graduate school",0,"Disagree",13,"Very strongly","4","Agree",3,"Slightly agree",2,8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
"390","Yes","Yes"," "," ","Yes","Graduate school","Graduate school",3,"Slightly agree",25.5,"Very strongly","4","Slightly agree",4,"Strongly agree",4,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,FALSE,0,FALSE
